center,left,right,steering,throttle,brake,speed
normal\IMG\center_2018_04_20_13_47_48_419.jpg,normal\IMG\left_2018_04_20_13_47_48_419.jpg,normal\IMG\right_2018_04_20_13_47_48_419.jpg,-0.7,1.0,0,27.40947
normal\IMG\center_2018_04_20_13_47_48_492.jpg,normal\IMG\left_2018_04_20_13_47_48_492.jpg,normal\IMG\right_2018_04_20_13_47_48_492.jpg,-0.9000002,1.0,0,27.86274
normal\IMG\center_2018_04_20_13_47_48_571.jpg,normal\IMG\left_2018_04_20_13_47_48_571.jpg,normal\IMG\right_2018_04_20_13_47_48_571.jpg,-0.7634236999999999,1.0,0,28.46716
normal\IMG\center_2018_04_20_13_47_48_696.jpg,normal\IMG\left_2018_04_20_13_47_48_696.jpg,normal\IMG\right_2018_04_20_13_47_48_696.jpg,-0.3854654000000001,1.0,0,29.62091
normal\IMG\center_2018_04_20_13_47_48_789.jpg,normal\IMG\left_2018_04_20_13_47_48_789.jpg,normal\IMG\right_2018_04_20_13_47_48_789.jpg,-0.1175451,0.7320797,0,30.13087
normal\IMG\center_2018_04_20_13_47_48_910.jpg,normal\IMG\left_2018_04_20_13_47_48_910.jpg,normal\IMG\right_2018_04_20_13_47_48_910.jpg,0.0,0.3598216,0,30.03312
normal\IMG\center_2018_04_20_13_47_48_994.jpg,normal\IMG\left_2018_04_20_13_47_48_994.jpg,normal\IMG\right_2018_04_20_13_47_48_994.jpg,0.0,0.1115486,0,29.88352
normal\IMG\center_2018_04_20_13_47_49_064.jpg,normal\IMG\left_2018_04_20_13_47_49_064.jpg,normal\IMG\right_2018_04_20_13_47_49_064.jpg,0.0,0.3197856,0,29.91964
normal\IMG\center_2018_04_20_13_47_49_206.jpg,normal\IMG\left_2018_04_20_13_47_49_206.jpg,normal\IMG\right_2018_04_20_13_47_49_206.jpg,0.0,0.7455046999999999,0,30.1289
normal\IMG\center_2018_04_20_13_47_49_337.jpg,normal\IMG\left_2018_04_20_13_47_49_337.jpg,normal\IMG\right_2018_04_20_13_47_49_337.jpg,0.0,1.0,0,30.18915
normal\IMG\center_2018_04_20_13_47_49_424.jpg,normal\IMG\left_2018_04_20_13_47_49_424.jpg,normal\IMG\right_2018_04_20_13_47_49_424.jpg,0.0,1.0,0,30.19045
normal\IMG\center_2018_04_20_13_47_49_550.jpg,normal\IMG\left_2018_04_20_13_47_49_550.jpg,normal\IMG\right_2018_04_20_13_47_49_550.jpg,0.0,1.0,0,30.19027
normal\IMG\center_2018_04_20_13_47_49_618.jpg,normal\IMG\left_2018_04_20_13_47_49_618.jpg,normal\IMG\right_2018_04_20_13_47_49_618.jpg,0.0,1.0,0,30.19063
normal\IMG\center_2018_04_20_13_47_49_693.jpg,normal\IMG\left_2018_04_20_13_47_49_693.jpg,normal\IMG\right_2018_04_20_13_47_49_693.jpg,0.0,1.0,0,30.19037
normal\IMG\center_2018_04_20_13_47_49_774.jpg,normal\IMG\left_2018_04_20_13_47_49_774.jpg,normal\IMG\right_2018_04_20_13_47_49_774.jpg,0.0,1.0,0,30.19018
normal\IMG\center_2018_04_20_13_47_49_911.jpg,normal\IMG\left_2018_04_20_13_47_49_911.jpg,normal\IMG\right_2018_04_20_13_47_49_911.jpg,0.0,1.0,0,30.1901
normal\IMG\center_2018_04_20_13_47_50_039.jpg,normal\IMG\left_2018_04_20_13_47_50_039.jpg,normal\IMG\right_2018_04_20_13_47_50_039.jpg,0.0,1.0,0,30.19013
normal\IMG\center_2018_04_20_13_47_50_107.jpg,normal\IMG\left_2018_04_20_13_47_50_107.jpg,normal\IMG\right_2018_04_20_13_47_50_107.jpg,0.0,1.0,0,30.19011
normal\IMG\center_2018_04_20_13_47_50_177.jpg,normal\IMG\left_2018_04_20_13_47_50_177.jpg,normal\IMG\right_2018_04_20_13_47_50_177.jpg,0.0,1.0,0,30.1901
normal\IMG\center_2018_04_20_13_47_50_258.jpg,normal\IMG\left_2018_04_20_13_47_50_258.jpg,normal\IMG\right_2018_04_20_13_47_50_258.jpg,0.0,1.0,0,30.19061
normal\IMG\center_2018_04_20_13_47_50_387.jpg,normal\IMG\left_2018_04_20_13_47_50_387.jpg,normal\IMG\right_2018_04_20_13_47_50_387.jpg,0.0,1.0,0,30.19012
normal\IMG\center_2018_04_20_13_47_50_456.jpg,normal\IMG\left_2018_04_20_13_47_50_456.jpg,normal\IMG\right_2018_04_20_13_47_50_456.jpg,0.0,1.0,0,30.19135
normal\IMG\center_2018_04_20_13_47_50_526.jpg,normal\IMG\left_2018_04_20_13_47_50_526.jpg,normal\IMG\right_2018_04_20_13_47_50_526.jpg,0.0,1.0,0,30.1907
normal\IMG\center_2018_04_20_13_47_50_596.jpg,normal\IMG\left_2018_04_20_13_47_50_596.jpg,normal\IMG\right_2018_04_20_13_47_50_596.jpg,0.0,1.0,0,30.19067
normal\IMG\center_2018_04_20_13_47_50_666.jpg,normal\IMG\left_2018_04_20_13_47_50_666.jpg,normal\IMG\right_2018_04_20_13_47_50_666.jpg,0.0,1.0,0,30.19061
normal\IMG\center_2018_04_20_13_47_50_735.jpg,normal\IMG\left_2018_04_20_13_47_50_735.jpg,normal\IMG\right_2018_04_20_13_47_50_735.jpg,0.0,1.0,0,30.1902
normal\IMG\center_2018_04_20_13_47_50_804.jpg,normal\IMG\left_2018_04_20_13_47_50_804.jpg,normal\IMG\right_2018_04_20_13_47_50_804.jpg,-0.2,1.0,0,30.17964000000001
normal\IMG\center_2018_04_20_13_47_50_873.jpg,normal\IMG\left_2018_04_20_13_47_50_873.jpg,normal\IMG\right_2018_04_20_13_47_50_873.jpg,-0.35,1.0,0,30.16331
normal\IMG\center_2018_04_20_13_47_50_960.jpg,normal\IMG\left_2018_04_20_13_47_50_960.jpg,normal\IMG\right_2018_04_20_13_47_50_960.jpg,-0.1654747,1.0,0,30.18943
normal\IMG\center_2018_04_20_13_47_51_031.jpg,normal\IMG\left_2018_04_20_13_47_51_031.jpg,normal\IMG\right_2018_04_20_13_47_51_031.jpg,0.0,1.0,0,30.18918
normal\IMG\center_2018_04_20_13_47_51_101.jpg,normal\IMG\left_2018_04_20_13_47_51_101.jpg,normal\IMG\right_2018_04_20_13_47_51_101.jpg,0.0,1.0,0,30.19005
normal\IMG\center_2018_04_20_13_47_51_232.jpg,normal\IMG\left_2018_04_20_13_47_51_232.jpg,normal\IMG\right_2018_04_20_13_47_51_232.jpg,0.0,1.0,0,30.19015
normal\IMG\center_2018_04_20_13_47_51_303.jpg,normal\IMG\left_2018_04_20_13_47_51_303.jpg,normal\IMG\right_2018_04_20_13_47_51_303.jpg,-0.2,1.0,0,30.18068
normal\IMG\center_2018_04_20_13_47_51_374.jpg,normal\IMG\left_2018_04_20_13_47_51_374.jpg,normal\IMG\right_2018_04_20_13_47_51_374.jpg,0.0,1.0,0,30.189740000000004
normal\IMG\center_2018_04_20_13_47_51_446.jpg,normal\IMG\left_2018_04_20_13_47_51_446.jpg,normal\IMG\right_2018_04_20_13_47_51_446.jpg,0.0,1.0,0,30.19025
normal\IMG\center_2018_04_20_13_47_51_531.jpg,normal\IMG\left_2018_04_20_13_47_51_531.jpg,normal\IMG\right_2018_04_20_13_47_51_531.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_47_51_665.jpg,normal\IMG\left_2018_04_20_13_47_51_665.jpg,normal\IMG\right_2018_04_20_13_47_51_665.jpg,0.0,1.0,0,30.19032
normal\IMG\center_2018_04_20_13_47_51_812.jpg,normal\IMG\left_2018_04_20_13_47_51_812.jpg,normal\IMG\right_2018_04_20_13_47_51_812.jpg,-0.35,1.0,0,30.16361
normal\IMG\center_2018_04_20_13_47_51_946.jpg,normal\IMG\left_2018_04_20_13_47_51_946.jpg,normal\IMG\right_2018_04_20_13_47_51_946.jpg,-0.03774208,1.0,0,30.19013
normal\IMG\center_2018_04_20_13_47_52_015.jpg,normal\IMG\left_2018_04_20_13_47_52_015.jpg,normal\IMG\right_2018_04_20_13_47_52_015.jpg,0.0,1.0,0,30.18978
normal\IMG\center_2018_04_20_13_47_52_089.jpg,normal\IMG\left_2018_04_20_13_47_52_089.jpg,normal\IMG\right_2018_04_20_13_47_52_089.jpg,0.0,1.0,0,30.19019
normal\IMG\center_2018_04_20_13_47_52_157.jpg,normal\IMG\left_2018_04_20_13_47_52_157.jpg,normal\IMG\right_2018_04_20_13_47_52_157.jpg,-0.15,1.0,0,30.18767
normal\IMG\center_2018_04_20_13_47_52_243.jpg,normal\IMG\left_2018_04_20_13_47_52_243.jpg,normal\IMG\right_2018_04_20_13_47_52_243.jpg,0.0,1.0,0,30.18979
normal\IMG\center_2018_04_20_13_47_52_317.jpg,normal\IMG\left_2018_04_20_13_47_52_317.jpg,normal\IMG\right_2018_04_20_13_47_52_317.jpg,0.0,1.0,0,30.19
normal\IMG\center_2018_04_20_13_47_52_390.jpg,normal\IMG\left_2018_04_20_13_47_52_390.jpg,normal\IMG\right_2018_04_20_13_47_52_390.jpg,0.0,1.0,0,30.18858
normal\IMG\center_2018_04_20_13_47_52_524.jpg,normal\IMG\left_2018_04_20_13_47_52_524.jpg,normal\IMG\right_2018_04_20_13_47_52_524.jpg,0.0,1.0,0,30.18983
normal\IMG\center_2018_04_20_13_47_52_599.jpg,normal\IMG\left_2018_04_20_13_47_52_599.jpg,normal\IMG\right_2018_04_20_13_47_52_599.jpg,0.0,1.0,0,30.18987000000001
normal\IMG\center_2018_04_20_13_47_52_674.jpg,normal\IMG\left_2018_04_20_13_47_52_674.jpg,normal\IMG\right_2018_04_20_13_47_52_674.jpg,-0.2,1.0,0,30.17977
normal\IMG\center_2018_04_20_13_47_52_751.jpg,normal\IMG\left_2018_04_20_13_47_52_751.jpg,normal\IMG\right_2018_04_20_13_47_52_751.jpg,-0.4,1.0,0,30.157740000000004
normal\IMG\center_2018_04_20_13_47_52_825.jpg,normal\IMG\left_2018_04_20_13_47_52_825.jpg,normal\IMG\right_2018_04_20_13_47_52_825.jpg,-0.6000001,1.0,0,30.13146
normal\IMG\center_2018_04_20_13_47_52_900.jpg,normal\IMG\left_2018_04_20_13_47_52_900.jpg,normal\IMG\right_2018_04_20_13_47_52_900.jpg,-0.7500001999999999,1.0,0,30.11509
normal\IMG\center_2018_04_20_13_47_52_978.jpg,normal\IMG\left_2018_04_20_13_47_52_978.jpg,normal\IMG\right_2018_04_20_13_47_52_978.jpg,-0.6721381999999999,1.0,0,30.15749000000001
normal\IMG\center_2018_04_20_13_47_53_070.jpg,normal\IMG\left_2018_04_20_13_47_53_070.jpg,normal\IMG\right_2018_04_20_13_47_53_070.jpg,-0.3968743,1.0,0,30.19522000000001
normal\IMG\center_2018_04_20_13_47_53_143.jpg,normal\IMG\left_2018_04_20_13_47_53_143.jpg,normal\IMG\right_2018_04_20_13_47_53_143.jpg,-0.1773819,1.0,0,30.19542
normal\IMG\center_2018_04_20_13_47_53_215.jpg,normal\IMG\left_2018_04_20_13_47_53_215.jpg,normal\IMG\right_2018_04_20_13_47_53_215.jpg,0.0,1.0,0,30.18783
normal\IMG\center_2018_04_20_13_47_53_311.jpg,normal\IMG\left_2018_04_20_13_47_53_311.jpg,normal\IMG\right_2018_04_20_13_47_53_311.jpg,0.0,1.0,0,30.19238
normal\IMG\center_2018_04_20_13_47_53_396.jpg,normal\IMG\left_2018_04_20_13_47_53_396.jpg,normal\IMG\right_2018_04_20_13_47_53_396.jpg,0.0,1.0,0,30.19007
normal\IMG\center_2018_04_20_13_47_53_541.jpg,normal\IMG\left_2018_04_20_13_47_53_541.jpg,normal\IMG\right_2018_04_20_13_47_53_541.jpg,0.0,1.0,0,30.19336
normal\IMG\center_2018_04_20_13_47_53_622.jpg,normal\IMG\left_2018_04_20_13_47_53_622.jpg,normal\IMG\right_2018_04_20_13_47_53_622.jpg,0.0,1.0,0,30.19003
normal\IMG\center_2018_04_20_13_47_53_697.jpg,normal\IMG\left_2018_04_20_13_47_53_697.jpg,normal\IMG\right_2018_04_20_13_47_53_697.jpg,0.15,1.0,0,30.18411
normal\IMG\center_2018_04_20_13_47_53_779.jpg,normal\IMG\left_2018_04_20_13_47_53_779.jpg,normal\IMG\right_2018_04_20_13_47_53_779.jpg,0.35,1.0,0,30.16355
normal\IMG\center_2018_04_20_13_47_53_859.jpg,normal\IMG\left_2018_04_20_13_47_53_859.jpg,normal\IMG\right_2018_04_20_13_47_53_859.jpg,0.5500001,1.0,0,30.13952
normal\IMG\center_2018_04_20_13_47_53_939.jpg,normal\IMG\left_2018_04_20_13_47_53_939.jpg,normal\IMG\right_2018_04_20_13_47_53_939.jpg,0.4744087000000001,1.0,0,30.17159
normal\IMG\center_2018_04_20_13_47_54_037.jpg,normal\IMG\left_2018_04_20_13_47_54_037.jpg,normal\IMG\right_2018_04_20_13_47_54_037.jpg,0.1885013,1.0,0,30.19262
normal\IMG\center_2018_04_20_13_47_54_173.jpg,normal\IMG\left_2018_04_20_13_47_54_173.jpg,normal\IMG\right_2018_04_20_13_47_54_173.jpg,-0.1614987,1.0,0,30.17426
normal\IMG\center_2018_04_20_13_47_54_271.jpg,normal\IMG\left_2018_04_20_13_47_54_271.jpg,normal\IMG\right_2018_04_20_13_47_54_271.jpg,-0.4114988000000001,1.0,0,30.14903
normal\IMG\center_2018_04_20_13_47_54_341.jpg,normal\IMG\left_2018_04_20_13_47_54_341.jpg,normal\IMG\right_2018_04_20_13_47_54_341.jpg,-0.29110840000000004,1.0,0,30.17883
normal\IMG\center_2018_04_20_13_47_54_415.jpg,normal\IMG\left_2018_04_20_13_47_54_415.jpg,normal\IMG\right_2018_04_20_13_47_54_415.jpg,-0.06860491,1.0,0,30.19028
normal\IMG\center_2018_04_20_13_47_54_508.jpg,normal\IMG\left_2018_04_20_13_47_54_508.jpg,normal\IMG\right_2018_04_20_13_47_54_508.jpg,0.0,1.0,0,30.18967
normal\IMG\center_2018_04_20_13_47_54_577.jpg,normal\IMG\left_2018_04_20_13_47_54_577.jpg,normal\IMG\right_2018_04_20_13_47_54_577.jpg,0.0,1.0,0,30.19011
normal\IMG\center_2018_04_20_13_47_54_670.jpg,normal\IMG\left_2018_04_20_13_47_54_670.jpg,normal\IMG\right_2018_04_20_13_47_54_670.jpg,0.0,1.0,0,30.19027
normal\IMG\center_2018_04_20_13_47_54_811.jpg,normal\IMG\left_2018_04_20_13_47_54_811.jpg,normal\IMG\right_2018_04_20_13_47_54_811.jpg,0.0,1.0,0,30.19045
normal\IMG\center_2018_04_20_13_47_54_891.jpg,normal\IMG\left_2018_04_20_13_47_54_891.jpg,normal\IMG\right_2018_04_20_13_47_54_891.jpg,0.0,1.0,0,30.19033
normal\IMG\center_2018_04_20_13_47_54_973.jpg,normal\IMG\left_2018_04_20_13_47_54_973.jpg,normal\IMG\right_2018_04_20_13_47_54_973.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_47_55_054.jpg,normal\IMG\left_2018_04_20_13_47_55_054.jpg,normal\IMG\right_2018_04_20_13_47_55_054.jpg,0.0,1.0,0,30.18958
normal\IMG\center_2018_04_20_13_47_55_136.jpg,normal\IMG\left_2018_04_20_13_47_55_136.jpg,normal\IMG\right_2018_04_20_13_47_55_136.jpg,0.0,1.0,0,30.1898
normal\IMG\center_2018_04_20_13_47_55_225.jpg,normal\IMG\left_2018_04_20_13_47_55_225.jpg,normal\IMG\right_2018_04_20_13_47_55_225.jpg,-0.25,1.0,0,30.17357
normal\IMG\center_2018_04_20_13_47_55_295.jpg,normal\IMG\left_2018_04_20_13_47_55_295.jpg,normal\IMG\right_2018_04_20_13_47_55_295.jpg,-0.4,1.0,0,30.15704
normal\IMG\center_2018_04_20_13_47_55_376.jpg,normal\IMG\left_2018_04_20_13_47_55_376.jpg,normal\IMG\right_2018_04_20_13_47_55_376.jpg,-0.6000001,1.0,0,30.13337000000001
normal\IMG\center_2018_04_20_13_47_55_471.jpg,normal\IMG\left_2018_04_20_13_47_55_471.jpg,normal\IMG\right_2018_04_20_13_47_55_471.jpg,-0.4413339,1.0,0,30.18011
normal\IMG\center_2018_04_20_13_47_55_544.jpg,normal\IMG\left_2018_04_20_13_47_55_544.jpg,normal\IMG\right_2018_04_20_13_47_55_544.jpg,-0.2228833,1.0,0,30.19416
normal\IMG\center_2018_04_20_13_47_55_618.jpg,normal\IMG\left_2018_04_20_13_47_55_618.jpg,normal\IMG\right_2018_04_20_13_47_55_618.jpg,0.0,1.0,0,30.18706
normal\IMG\center_2018_04_20_13_47_55_702.jpg,normal\IMG\left_2018_04_20_13_47_55_702.jpg,normal\IMG\right_2018_04_20_13_47_55_702.jpg,0.0,1.0,0,30.190140000000003
normal\IMG\center_2018_04_20_13_47_55_804.jpg,normal\IMG\left_2018_04_20_13_47_55_804.jpg,normal\IMG\right_2018_04_20_13_47_55_804.jpg,0.0,1.0,0,30.19161
normal\IMG\center_2018_04_20_13_47_55_948.jpg,normal\IMG\left_2018_04_20_13_47_55_948.jpg,normal\IMG\right_2018_04_20_13_47_55_948.jpg,0.0,1.0,0,30.19041
normal\IMG\center_2018_04_20_13_47_56_030.jpg,normal\IMG\left_2018_04_20_13_47_56_030.jpg,normal\IMG\right_2018_04_20_13_47_56_030.jpg,0.0,1.0,0,30.19248
normal\IMG\center_2018_04_20_13_47_56_111.jpg,normal\IMG\left_2018_04_20_13_47_56_111.jpg,normal\IMG\right_2018_04_20_13_47_56_111.jpg,0.0,1.0,0,30.19003
normal\IMG\center_2018_04_20_13_47_56_192.jpg,normal\IMG\left_2018_04_20_13_47_56_192.jpg,normal\IMG\right_2018_04_20_13_47_56_192.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_47_56_276.jpg,normal\IMG\left_2018_04_20_13_47_56_276.jpg,normal\IMG\right_2018_04_20_13_47_56_276.jpg,0.0,1.0,0,30.19038
normal\IMG\center_2018_04_20_13_47_56_358.jpg,normal\IMG\left_2018_04_20_13_47_56_358.jpg,normal\IMG\right_2018_04_20_13_47_56_358.jpg,0.0,1.0,0,30.19035
normal\IMG\center_2018_04_20_13_47_56_442.jpg,normal\IMG\left_2018_04_20_13_47_56_442.jpg,normal\IMG\right_2018_04_20_13_47_56_442.jpg,0.0,1.0,0,30.19034000000001
normal\IMG\center_2018_04_20_13_47_56_526.jpg,normal\IMG\left_2018_04_20_13_47_56_526.jpg,normal\IMG\right_2018_04_20_13_47_56_526.jpg,0.0,1.0,0,30.19032
normal\IMG\center_2018_04_20_13_47_56_610.jpg,normal\IMG\left_2018_04_20_13_47_56_610.jpg,normal\IMG\right_2018_04_20_13_47_56_610.jpg,0.0,1.0,0,30.19035
normal\IMG\center_2018_04_20_13_47_56_693.jpg,normal\IMG\left_2018_04_20_13_47_56_693.jpg,normal\IMG\right_2018_04_20_13_47_56_693.jpg,0.0,1.0,0,30.19028
normal\IMG\center_2018_04_20_13_47_56_796.jpg,normal\IMG\left_2018_04_20_13_47_56_796.jpg,normal\IMG\right_2018_04_20_13_47_56_796.jpg,0.0,1.0,0,30.19031
normal\IMG\center_2018_04_20_13_47_56_879.jpg,normal\IMG\left_2018_04_20_13_47_56_879.jpg,normal\IMG\right_2018_04_20_13_47_56_879.jpg,-0.2,1.0,0,30.18
normal\IMG\center_2018_04_20_13_47_56_950.jpg,normal\IMG\left_2018_04_20_13_47_56_950.jpg,normal\IMG\right_2018_04_20_13_47_56_950.jpg,-0.4,1.0,0,30.157290000000003
normal\IMG\center_2018_04_20_13_47_57_032.jpg,normal\IMG\left_2018_04_20_13_47_57_032.jpg,normal\IMG\right_2018_04_20_13_47_57_032.jpg,-0.2212808,1.0,0,30.18837000000001
normal\IMG\center_2018_04_20_13_47_57_116.jpg,normal\IMG\left_2018_04_20_13_47_57_116.jpg,normal\IMG\right_2018_04_20_13_47_57_116.jpg,0.0,1.0,0,30.18896
normal\IMG\center_2018_04_20_13_47_57_225.jpg,normal\IMG\left_2018_04_20_13_47_57_225.jpg,normal\IMG\right_2018_04_20_13_47_57_225.jpg,0.0,1.0,0,30.19017
normal\IMG\center_2018_04_20_13_47_57_391.jpg,normal\IMG\left_2018_04_20_13_47_57_391.jpg,normal\IMG\right_2018_04_20_13_47_57_391.jpg,0.0,1.0,0,30.1903
normal\IMG\center_2018_04_20_13_47_57_467.jpg,normal\IMG\left_2018_04_20_13_47_57_467.jpg,normal\IMG\right_2018_04_20_13_47_57_467.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_47_57_549.jpg,normal\IMG\left_2018_04_20_13_47_57_549.jpg,normal\IMG\right_2018_04_20_13_47_57_549.jpg,0.0,1.0,0,30.19032
normal\IMG\center_2018_04_20_13_47_57_637.jpg,normal\IMG\left_2018_04_20_13_47_57_637.jpg,normal\IMG\right_2018_04_20_13_47_57_637.jpg,0.0,1.0,0,30.19031
normal\IMG\center_2018_04_20_13_47_57_724.jpg,normal\IMG\left_2018_04_20_13_47_57_724.jpg,normal\IMG\right_2018_04_20_13_47_57_724.jpg,0.0,1.0,0,30.19031
normal\IMG\center_2018_04_20_13_47_57_832.jpg,normal\IMG\left_2018_04_20_13_47_57_832.jpg,normal\IMG\right_2018_04_20_13_47_57_832.jpg,0.0,1.0,0,30.19031
normal\IMG\center_2018_04_20_13_47_57_896.jpg,normal\IMG\left_2018_04_20_13_47_57_896.jpg,normal\IMG\right_2018_04_20_13_47_57_896.jpg,-0.15,1.0,0,30.18418
normal\IMG\center_2018_04_20_13_47_58_001.jpg,normal\IMG\left_2018_04_20_13_47_58_001.jpg,normal\IMG\right_2018_04_20_13_47_58_001.jpg,-0.4,1.0,0,30.15744
normal\IMG\center_2018_04_20_13_47_58_070.jpg,normal\IMG\left_2018_04_20_13_47_58_070.jpg,normal\IMG\right_2018_04_20_13_47_58_070.jpg,-0.2970921,1.0,0,30.18317
normal\IMG\center_2018_04_20_13_47_58_174.jpg,normal\IMG\left_2018_04_20_13_47_58_174.jpg,normal\IMG\right_2018_04_20_13_47_58_174.jpg,0.0,1.0,0,30.18894
normal\IMG\center_2018_04_20_13_47_58_244.jpg,normal\IMG\left_2018_04_20_13_47_58_244.jpg,normal\IMG\right_2018_04_20_13_47_58_244.jpg,0.0,1.0,0,30.18952
normal\IMG\center_2018_04_20_13_47_58_347.jpg,normal\IMG\left_2018_04_20_13_47_58_347.jpg,normal\IMG\right_2018_04_20_13_47_58_347.jpg,0.0,1.0,0,30.19029
normal\IMG\center_2018_04_20_13_47_58_423.jpg,normal\IMG\left_2018_04_20_13_47_58_423.jpg,normal\IMG\right_2018_04_20_13_47_58_423.jpg,0.0,1.0,0,30.19031
normal\IMG\center_2018_04_20_13_47_58_504.jpg,normal\IMG\left_2018_04_20_13_47_58_504.jpg,normal\IMG\right_2018_04_20_13_47_58_504.jpg,0.0,1.0,0,30.19029
