center,left,right,speed,steering,throttle,brake
recovery\IMG\center_2018_04_19_16_35_59_978.jpg,recovery\IMG\left_2018_04_19_16_35_59_978.jpg,recovery\IMG\right_2018_04_19_16_35_59_978.jpg,23.06538,-0.2,0.4464675,0
recovery\IMG\center_2018_04_19_16_36_00_061.jpg,recovery\IMG\left_2018_04_19_16_36_00_061.jpg,recovery\IMG\right_2018_04_19_16_36_00_061.jpg,23.09505,-0.01703771,0.1922171,0
recovery\IMG\center_2018_04_19_16_36_00_179.jpg,recovery\IMG\left_2018_04_19_16_36_00_179.jpg,recovery\IMG\right_2018_04_19_16_36_00_179.jpg,22.82745,0,0,0
recovery\IMG\center_2018_04_19_16_36_00_249.jpg,recovery\IMG\left_2018_04_19_16_36_00_249.jpg,recovery\IMG\right_2018_04_19_16_36_00_249.jpg,22.6343,0,0,0
recovery\IMG\center_2018_04_19_16_36_00_353.jpg,recovery\IMG\left_2018_04_19_16_36_00_353.jpg,recovery\IMG\right_2018_04_19_16_36_00_353.jpg,22.49416,-0.25,0,0
recovery\IMG\center_2018_04_19_16_36_00_446.jpg,recovery\IMG\left_2018_04_19_16_36_00_446.jpg,recovery\IMG\right_2018_04_19_16_36_00_446.jpg,21.98994,-0.5000001,0,0
recovery\IMG\center_2018_04_19_16_36_00_557.jpg,recovery\IMG\left_2018_04_19_16_36_00_557.jpg,recovery\IMG\right_2018_04_19_16_36_00_557.jpg,21.95049,-0.2634068,0,0
recovery\IMG\center_2018_04_19_16_36_00_649.jpg,recovery\IMG\left_2018_04_19_16_36_00_649.jpg,recovery\IMG\right_2018_04_19_16_36_00_649.jpg,21.46127,0,0,0
recovery\IMG\center_2018_04_19_16_36_00_724.jpg,recovery\IMG\left_2018_04_19_16_36_00_724.jpg,recovery\IMG\right_2018_04_19_16_36_00_724.jpg,21.27739,0,0,0
recovery\IMG\center_2018_04_19_16_36_00_813.jpg,recovery\IMG\left_2018_04_19_16_36_00_813.jpg,recovery\IMG\right_2018_04_19_16_36_00_813.jpg,21.09945,0,0,0
recovery\IMG\center_2018_04_19_16_36_20_988.jpg,recovery\IMG\left_2018_04_19_16_36_20_988.jpg,recovery\IMG\right_2018_04_19_16_36_20_988.jpg,12.2316,0.25,0,0
recovery\IMG\center_2018_04_19_16_36_21_138.jpg,recovery\IMG\left_2018_04_19_16_36_21_138.jpg,recovery\IMG\right_2018_04_19_16_36_21_138.jpg,11.92947,0.6500001,0,0
recovery\IMG\center_2018_04_19_16_36_21_223.jpg,recovery\IMG\left_2018_04_19_16_36_21_223.jpg,recovery\IMG\right_2018_04_19_16_36_21_223.jpg,11.74433,0.8500001,0,0
recovery\IMG\center_2018_04_19_16_36_21_299.jpg,recovery\IMG\left_2018_04_19_16_36_21_299.jpg,recovery\IMG\right_2018_04_19_16_36_21_299.jpg,11.52704,0.7647849,0,0
recovery\IMG\center_2018_04_19_16_36_21_413.jpg,recovery\IMG\left_2018_04_19_16_36_21_413.jpg,recovery\IMG\right_2018_04_19_16_36_21_413.jpg,11.35666,0.4322061,0,0
recovery\IMG\center_2018_04_19_16_36_21_502.jpg,recovery\IMG\left_2018_04_19_16_36_21_502.jpg,recovery\IMG\right_2018_04_19_16_36_21_502.jpg,11.38653,0.1797301,0,0
recovery\IMG\center_2018_04_19_16_36_21_592.jpg,recovery\IMG\left_2018_04_19_16_36_21_592.jpg,recovery\IMG\right_2018_04_19_16_36_21_592.jpg,11.47344,0,0,0
recovery\IMG\center_2018_04_19_16_36_21_665.jpg,recovery\IMG\left_2018_04_19_16_36_21_665.jpg,recovery\IMG\right_2018_04_19_16_36_21_665.jpg,11.16032,0,0,0
recovery\IMG\center_2018_04_19_16_36_21_780.jpg,recovery\IMG\left_2018_04_19_16_36_21_780.jpg,recovery\IMG\right_2018_04_19_16_36_21_780.jpg,11.21506,0,0,0
recovery\IMG\center_2018_04_19_16_36_21_851.jpg,recovery\IMG\left_2018_04_19_16_36_21_851.jpg,recovery\IMG\right_2018_04_19_16_36_21_851.jpg,11.13031,0,0,0
recovery\IMG\center_2018_04_19_16_36_21_953.jpg,recovery\IMG\left_2018_04_19_16_36_21_953.jpg,recovery\IMG\right_2018_04_19_16_36_21_953.jpg,11.02065,0,0,0
recovery\IMG\center_2018_04_19_16_36_22_049.jpg,recovery\IMG\left_2018_04_19_16_36_22_049.jpg,recovery\IMG\right_2018_04_19_16_36_22_049.jpg,10.89096,-0.25,0,0
recovery\IMG\center_2018_04_19_16_36_22_156.jpg,recovery\IMG\left_2018_04_19_16_36_22_156.jpg,recovery\IMG\right_2018_04_19_16_36_22_156.jpg,10.77974,0,0,0
recovery\IMG\center_2018_04_19_16_36_22_253.jpg,recovery\IMG\left_2018_04_19_16_36_22_253.jpg,recovery\IMG\right_2018_04_19_16_36_22_253.jpg,10.67257,0,0,0
recovery\IMG\center_2018_04_19_16_36_22_347.jpg,recovery\IMG\left_2018_04_19_16_36_22_347.jpg,recovery\IMG\right_2018_04_19_16_36_22_347.jpg,10.56625,0,0,0
recovery\IMG\center_2018_04_19_16_36_22_452.jpg,recovery\IMG\left_2018_04_19_16_36_22_452.jpg,recovery\IMG\right_2018_04_19_16_36_22_452.jpg,10.46102,0,0,0
recovery\IMG\center_2018_04_19_16_36_22_524.jpg,recovery\IMG\left_2018_04_19_16_36_22_524.jpg,recovery\IMG\right_2018_04_19_16_36_22_524.jpg,10.37761,0,0,0
recovery\IMG\center_2018_04_19_16_36_22_639.jpg,recovery\IMG\left_2018_04_19_16_36_22_639.jpg,recovery\IMG\right_2018_04_19_16_36_22_639.jpg,10.2743,0,0,0
recovery\IMG\center_2018_04_19_16_36_22_719.jpg,recovery\IMG\left_2018_04_19_16_36_22_719.jpg,recovery\IMG\right_2018_04_19_16_36_22_719.jpg,10.1924,0,0,0
recovery\IMG\center_2018_04_19_16_36_22_817.jpg,recovery\IMG\left_2018_04_19_16_36_22_817.jpg,recovery\IMG\right_2018_04_19_16_36_22_817.jpg,10.0719,-0.25,0,0
recovery\IMG\center_2018_04_19_16_36_22_935.jpg,recovery\IMG\left_2018_04_19_16_36_22_935.jpg,recovery\IMG\right_2018_04_19_16_36_22_935.jpg,9.946564,0,0,0
recovery\IMG\center_2018_04_19_16_36_23_009.jpg,recovery\IMG\left_2018_04_19_16_36_23_009.jpg,recovery\IMG\right_2018_04_19_16_36_23_009.jpg,9.866466,0,0,0
recovery\IMG\center_2018_04_19_16_36_23_107.jpg,recovery\IMG\left_2018_04_19_16_36_23_107.jpg,recovery\IMG\right_2018_04_19_16_36_23_107.jpg,9.750103,-0.25,0,0
recovery\IMG\center_2018_04_19_16_36_23_202.jpg,recovery\IMG\left_2018_04_19_16_36_23_202.jpg,recovery\IMG\right_2018_04_19_16_36_23_202.jpg,9.626321,-0.45,0,0
recovery\IMG\center_2018_04_19_16_36_23_299.jpg,recovery\IMG\left_2018_04_19_16_36_23_299.jpg,recovery\IMG\right_2018_04_19_16_36_23_299.jpg,9.531913,-0.2876996,0,0
recovery\IMG\center_2018_04_19_16_36_23_397.jpg,recovery\IMG\left_2018_04_19_16_36_23_397.jpg,recovery\IMG\right_2018_04_19_16_36_23_397.jpg,9.417023,0,0,0
recovery\IMG\center_2018_04_19_16_45_13_943.jpg,recovery\IMG\left_2018_04_19_16_45_13_943.jpg,recovery\IMG\right_2018_04_19_16_45_13_943.jpg,2.559041,0,0,0
recovery\IMG\center_2018_04_19_16_45_14_043.jpg,recovery\IMG\left_2018_04_19_16_45_14_043.jpg,recovery\IMG\right_2018_04_19_16_45_14_043.jpg,2.528271,0,0,0
recovery\IMG\center_2018_04_19_16_45_14_119.jpg,recovery\IMG\left_2018_04_19_16_45_14_119.jpg,recovery\IMG\right_2018_04_19_16_45_14_119.jpg,2.504197,0,0,0
recovery\IMG\center_2018_04_19_16_45_14_205.jpg,recovery\IMG\left_2018_04_19_16_45_14_205.jpg,recovery\IMG\right_2018_04_19_16_45_14_205.jpg,2.480593,0,0,0
recovery\IMG\center_2018_04_19_16_45_14_270.jpg,recovery\IMG\left_2018_04_19_16_45_14_270.jpg,recovery\IMG\right_2018_04_19_16_45_14_270.jpg,2.463198,0,0,0
recovery\IMG\center_2018_04_19_16_45_14_368.jpg,recovery\IMG\left_2018_04_19_16_45_14_368.jpg,recovery\IMG\right_2018_04_19_16_45_14_368.jpg,2.434779,0,0,0
recovery\IMG\center_2018_04_19_16_45_14_447.jpg,recovery\IMG\left_2018_04_19_16_45_14_447.jpg,recovery\IMG\right_2018_04_19_16_45_14_447.jpg,2.412025,0,0,0
recovery\IMG\center_2018_04_19_16_45_14_593.jpg,recovery\IMG\left_2018_04_19_16_45_14_593.jpg,recovery\IMG\right_2018_04_19_16_45_14_593.jpg,2.376694,0,0,0
recovery\IMG\center_2018_04_19_16_45_14_691.jpg,recovery\IMG\left_2018_04_19_16_45_14_691.jpg,recovery\IMG\right_2018_04_19_16_45_14_691.jpg,2.352082,0,0,0
recovery\IMG\center_2018_04_19_16_45_14_777.jpg,recovery\IMG\left_2018_04_19_16_45_14_777.jpg,recovery\IMG\right_2018_04_19_16_45_14_777.jpg,2.60695,-0.25,0.255056,0
recovery\IMG\center_2018_04_19_16_45_14_846.jpg,recovery\IMG\left_2018_04_19_16_45_14_846.jpg,recovery\IMG\right_2018_04_19_16_45_14_846.jpg,2.940305,-0.4,0.4680631,0
recovery\IMG\center_2018_04_19_16_45_14_940.jpg,recovery\IMG\left_2018_04_19_16_45_14_940.jpg,recovery\IMG\right_2018_04_19_16_45_14_940.jpg,3.782258,-0.6500001,0.741654,0
recovery\IMG\center_2018_04_19_16_45_15_004.jpg,recovery\IMG\left_2018_04_19_16_45_15_004.jpg,recovery\IMG\right_2018_04_19_16_45_15_004.jpg,4.407307,-0.8000001,0.9435584,0
recovery\IMG\center_2018_04_19_16_45_15_106.jpg,recovery\IMG\left_2018_04_19_16_45_15_106.jpg,recovery\IMG\right_2018_04_19_16_45_15_106.jpg,5.493831,-1,1,0
recovery\IMG\center_2018_04_19_16_45_15_260.jpg,recovery\IMG\left_2018_04_19_16_45_15_260.jpg,recovery\IMG\right_2018_04_19_16_45_15_260.jpg,7.007525,-0.7193297,0.7193297,0
recovery\IMG\center_2018_04_19_16_45_15_329.jpg,recovery\IMG\left_2018_04_19_16_45_15_329.jpg,recovery\IMG\right_2018_04_19_16_45_15_329.jpg,7.366565,-0.5086076,0.5086076,0
recovery\IMG\center_2018_04_19_16_45_15_421.jpg,recovery\IMG\left_2018_04_19_16_45_15_421.jpg,recovery\IMG\right_2018_04_19_16_45_15_421.jpg,7.610108,-0.2418638,0.2418638,0
recovery\IMG\center_2018_04_19_16_45_15_571.jpg,recovery\IMG\left_2018_04_19_16_45_15_571.jpg,recovery\IMG\right_2018_04_19_16_45_15_571.jpg,7.563525,0,0,0
recovery\IMG\center_2018_04_19_16_45_15_645.jpg,recovery\IMG\left_2018_04_19_16_45_15_645.jpg,recovery\IMG\right_2018_04_19_16_45_15_645.jpg,7.508338,0,0,0
recovery\IMG\center_2018_04_19_16_45_15_796.jpg,recovery\IMG\left_2018_04_19_16_45_15_796.jpg,recovery\IMG\right_2018_04_19_16_45_15_796.jpg,7.535773,0,0,0
recovery\IMG\center_2018_04_19_16_45_15_946.jpg,recovery\IMG\left_2018_04_19_16_45_15_946.jpg,recovery\IMG\right_2018_04_19_16_45_15_946.jpg,7.439627,0,0,0
recovery\IMG\center_2018_04_19_16_45_16_093.jpg,recovery\IMG\left_2018_04_19_16_45_16_093.jpg,recovery\IMG\right_2018_04_19_16_45_16_093.jpg,7.344984,0,0,0
recovery\IMG\center_2018_04_19_16_45_16_238.jpg,recovery\IMG\left_2018_04_19_16_45_16_238.jpg,recovery\IMG\right_2018_04_19_16_45_16_238.jpg,7.225047,-0.25,0,0
recovery\IMG\center_2018_04_19_16_45_16_302.jpg,recovery\IMG\left_2018_04_19_16_45_16_302.jpg,recovery\IMG\right_2018_04_19_16_45_16_302.jpg,7.297722,-0.4,0.2019505,0
recovery\IMG\center_2018_04_19_16_45_16_375.jpg,recovery\IMG\left_2018_04_19_16_45_16_375.jpg,recovery\IMG\right_2018_04_19_16_45_16_375.jpg,7.258878,-0.2407651,0,0
recovery\IMG\center_2018_04_19_16_45_16_456.jpg,recovery\IMG\left_2018_04_19_16_45_16_456.jpg,recovery\IMG\right_2018_04_19_16_45_16_456.jpg,7.191823,0,0,0
recovery\IMG\center_2018_04_19_16_45_16_606.jpg,recovery\IMG\left_2018_04_19_16_45_16_606.jpg,recovery\IMG\right_2018_04_19_16_45_16_606.jpg,7.096034,0,0,0
recovery\IMG\center_2018_04_19_16_45_16_752.jpg,recovery\IMG\left_2018_04_19_16_45_16_752.jpg,recovery\IMG\right_2018_04_19_16_45_16_752.jpg,7.002309,0,0,0
recovery\IMG\center_2018_04_19_16_45_16_897.jpg,recovery\IMG\left_2018_04_19_16_45_16_897.jpg,recovery\IMG\right_2018_04_19_16_45_16_897.jpg,6.896842,0,0,0
recovery\IMG\center_2018_04_19_16_45_17_043.jpg,recovery\IMG\left_2018_04_19_16_45_17_043.jpg,recovery\IMG\right_2018_04_19_16_45_17_043.jpg,7.038546,0,0.2558233,0
recovery\IMG\center_2018_04_19_16_45_17_115.jpg,recovery\IMG\left_2018_04_19_16_45_17_115.jpg,recovery\IMG\right_2018_04_19_16_45_17_115.jpg,7.430978,0,0.4746485,0
recovery\IMG\center_2018_04_19_16_45_17_269.jpg,recovery\IMG\left_2018_04_19_16_45_17_269.jpg,recovery\IMG\right_2018_04_19_16_45_17_269.jpg,8.219257,0,0.4119311,0
recovery\IMG\center_2018_04_19_16_45_17_338.jpg,recovery\IMG\left_2018_04_19_16_45_17_338.jpg,recovery\IMG\right_2018_04_19_16_45_17_338.jpg,8.36981,0,0.207525,0
recovery\IMG\center_2018_04_19_16_45_17_416.jpg,recovery\IMG\left_2018_04_19_16_45_17_416.jpg,recovery\IMG\right_2018_04_19_16_45_17_416.jpg,8.72059,0,0.4463131,0
recovery\IMG\center_2018_04_19_16_45_17_565.jpg,recovery\IMG\left_2018_04_19_16_45_17_565.jpg,recovery\IMG\right_2018_04_19_16_45_17_565.jpg,8.822762,0,0.006212145,0
recovery\IMG\center_2018_04_19_16_45_17_641.jpg,recovery\IMG\left_2018_04_19_16_45_17_641.jpg,recovery\IMG\right_2018_04_19_16_45_17_641.jpg,8.964068,0,0.2344364,0
recovery\IMG\center_2018_04_19_16_45_17_709.jpg,recovery\IMG\left_2018_04_19_16_45_17_709.jpg,recovery\IMG\right_2018_04_19_16_45_17_709.jpg,9.213842,-0.15,0.4434958,0
recovery\IMG\center_2018_04_19_16_45_17_837.jpg,recovery\IMG\left_2018_04_19_16_45_17_837.jpg,recovery\IMG\right_2018_04_19_16_45_17_837.jpg,9.938149,-0.1926747,0.4271111,0
recovery\IMG\center_2018_04_19_16_45_17_925.jpg,recovery\IMG\left_2018_04_19_16_45_17_925.jpg,recovery\IMG\right_2018_04_19_16_45_17_925.jpg,10.03348,0,0.1658352,0
recovery\IMG\center_2018_04_19_16_45_18_073.jpg,recovery\IMG\left_2018_04_19_16_45_18_073.jpg,recovery\IMG\right_2018_04_19_16_45_18_073.jpg,9.907985,0,0,0
recovery\IMG\center_2018_04_19_16_45_18_217.jpg,recovery\IMG\left_2018_04_19_16_45_18_217.jpg,recovery\IMG\right_2018_04_19_16_45_18_217.jpg,9.752337,0,0,0
recovery\IMG\center_2018_04_19_16_45_18_362.jpg,recovery\IMG\left_2018_04_19_16_45_18_362.jpg,recovery\IMG\right_2018_04_19_16_45_18_362.jpg,9.618237,0,0,0
recovery\IMG\center_2018_04_19_16_45_18_432.jpg,recovery\IMG\left_2018_04_19_16_45_18_432.jpg,recovery\IMG\right_2018_04_19_16_45_18_432.jpg,9.561342,0,0,0
recovery\IMG\center_2018_04_19_16_45_18_576.jpg,recovery\IMG\left_2018_04_19_16_45_18_576.jpg,recovery\IMG\right_2018_04_19_16_45_18_576.jpg,9.615335,-0.2,0.2396362,0
recovery\IMG\center_2018_04_19_16_45_18_704.jpg,recovery\IMG\left_2018_04_19_16_45_18_704.jpg,recovery\IMG\right_2018_04_19_16_45_18_704.jpg,9.492643,-0.5000001,0,0
recovery\IMG\center_2018_04_19_16_45_18_792.jpg,recovery\IMG\left_2018_04_19_16_45_18_792.jpg,recovery\IMG\right_2018_04_19_16_45_18_792.jpg,9.417729,-0.3761352,0,0
recovery\IMG\center_2018_04_19_16_45_18_928.jpg,recovery\IMG\left_2018_04_19_16_45_18_928.jpg,recovery\IMG\right_2018_04_19_16_45_18_928.jpg,9.277384,0,0,0
recovery\IMG\center_2018_04_19_16_45_19_010.jpg,recovery\IMG\left_2018_04_19_16_45_19_010.jpg,recovery\IMG\right_2018_04_19_16_45_19_010.jpg,9.203624,0,0,0
recovery\IMG\center_2018_04_19_16_45_19_079.jpg,recovery\IMG\left_2018_04_19_16_45_19_079.jpg,recovery\IMG\right_2018_04_19_16_45_19_079.jpg,9.131828,0,0,0
recovery\IMG\center_2018_04_19_16_45_42_550.jpg,recovery\IMG\left_2018_04_19_16_45_42_550.jpg,recovery\IMG\right_2018_04_19_16_45_42_550.jpg,4.000742,0,0,0
recovery\IMG\center_2018_04_19_16_45_42_684.jpg,recovery\IMG\left_2018_04_19_16_45_42_684.jpg,recovery\IMG\right_2018_04_19_16_45_42_684.jpg,3.939466,0,0,0
recovery\IMG\center_2018_04_19_16_45_42_820.jpg,recovery\IMG\left_2018_04_19_16_45_42_820.jpg,recovery\IMG\right_2018_04_19_16_45_42_820.jpg,3.87905,0,0,0
recovery\IMG\center_2018_04_19_16_45_42_946.jpg,recovery\IMG\left_2018_04_19_16_45_42_946.jpg,recovery\IMG\right_2018_04_19_16_45_42_946.jpg,3.827939,0,0,0
recovery\IMG\center_2018_04_19_16_45_43_066.jpg,recovery\IMG\left_2018_04_19_16_45_43_066.jpg,recovery\IMG\right_2018_04_19_16_45_43_066.jpg,3.901657,-0.15,0.1825265,0
recovery\IMG\center_2018_04_19_16_45_43_152.jpg,recovery\IMG\left_2018_04_19_16_45_43_152.jpg,recovery\IMG\right_2018_04_19_16_45_43_152.jpg,4.269375,-0.35,0.4352399,0
recovery\IMG\center_2018_04_19_16_45_43_279.jpg,recovery\IMG\left_2018_04_19_16_45_43_279.jpg,recovery\IMG\right_2018_04_19_16_45_43_279.jpg,5.360111,-0.7,0.8183224,0
recovery\IMG\center_2018_04_19_16_45_43_346.jpg,recovery\IMG\left_2018_04_19_16_45_43_346.jpg,recovery\IMG\right_2018_04_19_16_45_43_346.jpg,5.995749,-0.8500001,1,0
recovery\IMG\center_2018_04_19_16_45_43_481.jpg,recovery\IMG\left_2018_04_19_16_45_43_481.jpg,recovery\IMG\right_2018_04_19_16_45_43_481.jpg,7.328119,-0.7700322,0.7700322,0
recovery\IMG\center_2018_04_19_16_45_43_608.jpg,recovery\IMG\left_2018_04_19_16_45_43_608.jpg,recovery\IMG\right_2018_04_19_16_45_43_608.jpg,7.954855,-0.3849226,0.3849227,0
recovery\IMG\center_2018_04_19_16_45_43_729.jpg,recovery\IMG\left_2018_04_19_16_45_43_729.jpg,recovery\IMG\right_2018_04_19_16_45_43_729.jpg,8.036025,-0.01839035,0.01839035,0
recovery\IMG\center_2018_04_19_16_45_43_865.jpg,recovery\IMG\left_2018_04_19_16_45_43_865.jpg,recovery\IMG\right_2018_04_19_16_45_43_865.jpg,7.912343,-0.2,0,0
recovery\IMG\center_2018_04_19_16_45_43_996.jpg,recovery\IMG\left_2018_04_19_16_45_43_996.jpg,recovery\IMG\right_2018_04_19_16_45_43_996.jpg,8.205918,-0.5500001,0.3913345,0
recovery\IMG\center_2018_04_19_16_45_44_122.jpg,recovery\IMG\left_2018_04_19_16_45_44_122.jpg,recovery\IMG\right_2018_04_19_16_45_44_122.jpg,8.260744,-0.22845,0.01326964,0
recovery\IMG\center_2018_04_19_16_45_44_249.jpg,recovery\IMG\left_2018_04_19_16_45_44_249.jpg,recovery\IMG\right_2018_04_19_16_45_44_249.jpg,8.271414,-0.1858304,0.1889798,0
recovery\IMG\center_2018_04_19_16_45_44_375.jpg,recovery\IMG\left_2018_04_19_16_45_44_375.jpg,recovery\IMG\right_2018_04_19_16_45_44_375.jpg,8.872714,-0.5358305,0.5657296,0
recovery\IMG\center_2018_04_19_16_45_44_501.jpg,recovery\IMG\left_2018_04_19_16_45_44_501.jpg,recovery\IMG\right_2018_04_19_16_45_44_501.jpg,9.169229,-0.2234849,0.1876545,0
recovery\IMG\center_2018_04_19_16_45_44_625.jpg,recovery\IMG\left_2018_04_19_16_45_44_625.jpg,recovery\IMG\right_2018_04_19_16_45_44_625.jpg,9.074534,0,0,0
recovery\IMG\center_2018_04_19_16_45_44_745.jpg,recovery\IMG\left_2018_04_19_16_45_44_745.jpg,recovery\IMG\right_2018_04_19_16_45_44_745.jpg,9.090502,-0.15,0.2019236,0
recovery\IMG\center_2018_04_19_16_45_44_864.jpg,recovery\IMG\left_2018_04_19_16_45_44_864.jpg,recovery\IMG\right_2018_04_19_16_45_44_864.jpg,9.56776,-0.45,0.5618653,0
recovery\IMG\center_2018_04_19_16_45_44_984.jpg,recovery\IMG\left_2018_04_19_16_45_44_984.jpg,recovery\IMG\right_2018_04_19_16_45_44_984.jpg,10.28416,-0.5015419,0.5015419,0
recovery\IMG\center_2018_04_19_16_45_45_094.jpg,recovery\IMG\left_2018_04_19_16_45_45_094.jpg,recovery\IMG\right_2018_04_19_16_45_45_094.jpg,10.54701,-0.1676365,0.1676365,0
recovery\IMG\center_2018_04_19_16_45_45_164.jpg,recovery\IMG\left_2018_04_19_16_45_45_164.jpg,recovery\IMG\right_2018_04_19_16_45_45_164.jpg,10.48311,0,0,0
recovery\IMG\center_2018_04_19_16_45_45_277.jpg,recovery\IMG\left_2018_04_19_16_45_45_277.jpg,recovery\IMG\right_2018_04_19_16_45_45_277.jpg,10.35384,0,0,0
recovery\IMG\center_2018_04_19_16_45_45_345.jpg,recovery\IMG\left_2018_04_19_16_45_45_345.jpg,recovery\IMG\right_2018_04_19_16_45_45_345.jpg,10.41972,-0.15,0.2050296,0
recovery\IMG\center_2018_04_19_16_45_45_465.jpg,recovery\IMG\left_2018_04_19_16_45_45_465.jpg,recovery\IMG\right_2018_04_19_16_45_45_465.jpg,10.58695,-0.1328144,0.1328144,0
recovery\IMG\center_2018_04_19_16_45_45_585.jpg,recovery\IMG\left_2018_04_19_16_45_45_585.jpg,recovery\IMG\right_2018_04_19_16_45_45_585.jpg,10.4671,0,0,0
recovery\IMG\center_2018_04_19_16_45_45_706.jpg,recovery\IMG\left_2018_04_19_16_45_45_706.jpg,recovery\IMG\right_2018_04_19_16_45_45_706.jpg,10.47207,-0.15,0.209384,0
recovery\IMG\center_2018_04_19_16_45_45_825.jpg,recovery\IMG\left_2018_04_19_16_45_45_825.jpg,recovery\IMG\right_2018_04_19_16_45_45_825.jpg,10.95387,-0.45,0.567595,0
recovery\IMG\center_2018_04_19_16_45_45_931.jpg,recovery\IMG\left_2018_04_19_16_45_45_931.jpg,recovery\IMG\right_2018_04_19_16_45_45_931.jpg,11.30657,-0.2468194,0.2468194,0
recovery\IMG\center_2018_04_19_16_45_46_006.jpg,recovery\IMG\left_2018_04_19_16_45_46_006.jpg,recovery\IMG\right_2018_04_19_16_45_46_006.jpg,11.22113,-0.03115151,0.03115151,0
recovery\IMG\center_2018_04_19_16_45_46_119.jpg,recovery\IMG\left_2018_04_19_16_45_46_119.jpg,recovery\IMG\right_2018_04_19_16_45_46_119.jpg,11.08344,-0.15,0,0
recovery\IMG\center_2018_04_19_16_45_46_239.jpg,recovery\IMG\left_2018_04_19_16_45_46_239.jpg,recovery\IMG\right_2018_04_19_16_45_46_239.jpg,11.31174,-0.45,0.3554681,0
recovery\IMG\center_2018_04_19_16_45_46_343.jpg,recovery\IMG\left_2018_04_19_16_45_46_343.jpg,recovery\IMG\right_2018_04_19_16_45_46_343.jpg,11.70423,-0.5240207,0.3281064,0
recovery\IMG\center_2018_04_19_16_45_46_461.jpg,recovery\IMG\left_2018_04_19_16_45_46_461.jpg,recovery\IMG\right_2018_04_19_16_45_46_461.jpg,11.86391,-0.1888657,0,0
recovery\IMG\center_2018_04_19_16_45_46_531.jpg,recovery\IMG\left_2018_04_19_16_45_46_531.jpg,recovery\IMG\right_2018_04_19_16_45_46_531.jpg,11.41726,0,0,0
recovery\IMG\center_2018_04_19_16_45_46_636.jpg,recovery\IMG\left_2018_04_19_16_45_46_636.jpg,recovery\IMG\right_2018_04_19_16_45_46_636.jpg,11.68613,-0.25,0.3239265,0
recovery\IMG\center_2018_04_19_16_45_46_733.jpg,recovery\IMG\left_2018_04_19_16_45_46_733.jpg,recovery\IMG\right_2018_04_19_16_45_46_733.jpg,12.158,-0.5000001,0.6241145,0
recovery\IMG\center_2018_04_19_16_45_46_845.jpg,recovery\IMG\left_2018_04_19_16_45_46_845.jpg,recovery\IMG\right_2018_04_19_16_45_46_845.jpg,12.59778,-0.2858971,0.2858971,0
